date, temperature
2023-11-02 22:47:07.696389, 19
2023-11-02 22:47:19.535184, 18
2023-11-02 22:47:36.716607, 18
2023-11-02 22:47:40.092182, 18
2023-11-02 22:47:45.646296, 18
2023-11-02 22:47:55.888126, 18
2023-11-02 22:48:05.538887, 18
2023-11-02 22:48:08.011435, 18
2023-11-02 22:48:11.403689, 19
2023-11-02 22:48:16.402215, 19
2023-11-02 22:48:23.035151, 19
2023-11-02 22:48:27.256759, 18
2023-11-02 22:48:30.559021, 18
2023-11-02 22:48:38.695896, 20
2023-11-02 22:48:41.108228, 18
2023-11-02 22:48:44.223570, 18
2023-11-02 22:48:49.499300, 18
2023-11-02 22:48:56.129775, 19
2023-11-02 22:49:00.079913, 18
2023-11-02 22:49:03.872801, 18
2023-11-02 22:49:09.413953, 19
2023-11-02 22:49:12.268119, 18
2023-11-02 22:49:15.547672, 19
2023-11-02 22:49:20.458662, 20
2023-11-02 22:49:27.342418, 18
2023-11-02 22:49:31.311674, 18
2023-11-02 22:49:34.797578, 18
2023-11-02 22:49:40.649635, 18
2023-11-02 22:49:43.062016, 18
2023-11-02 22:49:46.676104, 18
2023-11-02 22:49:52.205490, 18
2023-11-02 22:49:58.541008, 18
2023-11-02 22:50:01.473620, 18
2023-11-02 22:50:02.440904, 19
